date,ticker,close_price
2023-01-01,AAPL,210.82
2023-01-02,AAPL,214.18
2023-01-03,AAPL,216.24
2023-01-04,AAPL,217.1
2023-01-05,AAPL,218.96
2023-01-06,AAPL,216.87
2023-01-07,AAPL,213.12
2023-01-08,AAPL,210.0
2023-01-09,AAPL,210.58
2023-01-10,AAPL,210.03
2023-01-11,AAPL,207.47
2023-01-12,AAPL,204.79
2023-01-13,AAPL,202.48
2023-01-14,AAPL,201.53
2023-01-15,AAPL,204.94
2023-01-16,AAPL,203.16
2023-01-17,AAPL,199.6
2023-01-18,AAPL,203.06
2023-01-19,AAPL,202.4
2023-01-20,AAPL,202.37
2023-01-21,AAPL,199.49
2023-01-22,AAPL,202.83
2023-01-23,AAPL,205.26
2023-01-24,AAPL,205.28
2023-01-25,AAPL,205.91
2023-01-26,AAPL,205.3
2023-01-27,AAPL,207.76
2023-01-28,AAPL,204.21
2023-01-29,AAPL,206.68
2023-01-30,AAPL,208.13
2023-01-31,AAPL,207.4
2023-02-01,AAPL,206.31
2023-02-02,AAPL,209.36
2023-02-03,AAPL,205.42
2023-02-04,AAPL,204.02
2023-02-05,AAPL,202.52
2023-02-06,AAPL,203.76
2023-02-07,AAPL,206.78
2023-02-08,AAPL,204.44
2023-02-09,AAPL,207.66
2023-02-10,AAPL,204.87
2023-02-11,AAPL,204.48
2023-02-12,AAPL,200.69
2023-02-13,AAPL,197.28
2023-02-14,AAPL,196.35
2023-02-15,AAPL,196.28
2023-02-16,AAPL,196.47
2023-02-17,AAPL,200.33
2023-02-18,AAPL,199.7
2023-02-19,AAPL,196.2
2023-02-20,AAPL,198.47
2023-02-21,AAPL,198.46
2023-02-22,AAPL,196.67
2023-02-23,AAPL,200.32
2023-02-24,AAPL,199.31
2023-02-25,AAPL,201.16
2023-02-26,AAPL,201.87
2023-02-27,AAPL,202.77
2023-02-28,AAPL,199.09
2023-03-01,AAPL,196.95
2023-03-02,AAPL,193.74
2023-03-03,AAPL,195.21
2023-03-04,AAPL,191.59
2023-03-05,AAPL,194.17
2023-03-06,AAPL,190.35
2023-03-07,AAPL,193.68
2023-03-08,AAPL,193.33
2023-03-09,AAPL,193.0
2023-03-10,AAPL,196.58
2023-03-11,AAPL,197.15
2023-03-12,AAPL,201.02
2023-03-13,AAPL,199.74
2023-03-14,AAPL,196.82
2023-03-15,AAPL,198.2
2023-03-16,AAPL,202.07
2023-03-17,AAPL,198.65
2023-03-18,AAPL,197.42
2023-03-19,AAPL,197.25
2023-03-20,AAPL,194.24
2023-03-21,AAPL,197.39
2023-03-22,AAPL,200.14
2023-03-23,AAPL,199.9
2023-03-24,AAPL,201.82
2023-03-25,AAPL,200.17
2023-03-26,AAPL,197.94
2023-03-27,AAPL,194.31
2023-03-28,AAPL,191.66
2023-03-29,AAPL,195.38
2023-03-30,AAPL,195.38
2023-03-31,AAPL,191.61
2023-04-01,AAPL,192.09
2023-04-02,AAPL,192.91
2023-04-03,AAPL,194.64
2023-04-04,AAPL,196.63
2023-04-05,AAPL,196.05
2023-04-06,AAPL,194.93
2023-04-07,AAPL,198.19
2023-04-08,AAPL,199.98
2023-04-09,AAPL,198.31
2023-04-10,AAPL,200.95
2023-04-11,AAPL,199.33
2023-04-12,AAPL,200.79
2023-04-13,AAPL,203.03
2023-04-14,AAPL,201.96
2023-04-15,AAPL,202.33
2023-04-16,AAPL,199.85
2023-04-17,AAPL,196.14
2023-04-18,AAPL,199.01
2023-04-19,AAPL,202.2
2023-04-20,AAPL,203.15
2023-04-21,AAPL,203.58
2023-04-22,AAPL,203.89
2023-04-23,AAPL,205.26
2023-04-24,AAPL,207.64
2023-04-25,AAPL,206.37
2023-04-26,AAPL,206.0
2023-04-27,AAPL,203.53
2023-04-28,AAPL,206.57
2023-04-29,AAPL,209.86
2023-04-30,AAPL,207.37
2023-05-01,AAPL,204.02
2023-05-02,AAPL,203.12
2023-05-03,AAPL,204.05
2023-05-04,AAPL,207.84
2023-05-05,AAPL,208.51
2023-05-06,AAPL,212.49
2023-05-07,AAPL,215.58
2023-05-08,AAPL,218.97
2023-05-09,AAPL,222.17
2023-05-10,AAPL,224.53
2023-05-11,AAPL,223.93
2023-05-12,AAPL,221.78
2023-05-13,AAPL,223.95
2023-05-14,AAPL,219.87
2023-05-15,AAPL,217.86
2023-05-16,AAPL,219.36
2023-05-17,AAPL,217.36
2023-05-18,AAPL,213.26
2023-05-19,AAPL,210.3
2023-05-20,AAPL,208.95
2023-05-21,AAPL,212.43
2023-05-22,AAPL,209.95
2023-05-23,AAPL,210.6
2023-05-24,AAPL,208.84
2023-05-25,AAPL,208.71
2023-05-26,AAPL,205.54
2023-05-27,AAPL,202.22
2023-05-28,AAPL,200.3
2023-05-29,AAPL,196.9
2023-05-30,AAPL,199.63
2023-05-31,AAPL,200.52
2023-06-01,AAPL,198.11
2023-06-02,AAPL,196.06
2023-06-03,AAPL,199.39
2023-06-04,AAPL,196.2
2023-06-05,AAPL,198.41
2023-06-06,AAPL,199.03
2023-06-07,AAPL,197.82
2023-06-08,AAPL,199.72
2023-06-09,AAPL,202.9
2023-06-10,AAPL,204.03
2023-06-11,AAPL,203.66
2023-06-12,AAPL,207.12
2023-06-13,AAPL,210.75
2023-06-14,AAPL,211.44
2023-06-15,AAPL,211.35
2023-06-16,AAPL,208.8
2023-06-17,AAPL,211.64
2023-06-18,AAPL,211.49
2023-06-19,AAPL,215.35
2023-06-20,AAPL,211.39
2023-06-21,AAPL,215.02
2023-06-22,AAPL,216.05
2023-06-23,AAPL,212.11
2023-06-24,AAPL,209.01
2023-06-25,AAPL,213.0
2023-06-26,AAPL,216.84
2023-06-27,AAPL,219.69
2023-06-28,AAPL,219.73
2023-06-29,AAPL,216.74
2023-06-30,AAPL,220.85
